@RELATION 'DescriptiveAttributes-weka.filters.unsupervised.attribute.Remove-R320,322-329,331,336,340,343,346-347,350-351,355-357,362-367,373-374,386-409,412,415'

@ATTRIBUTE Cid                                                              string
@ATTRIBUTE AGR_EMP                                                          numeric
@ATTRIBUTE AGR_EXP                                                          numeric
@ATTRIBUTE AGR_IMP                                                          numeric
@ATTRIBUTE AGR_VAL                                                          numeric
@ATTRIBUTE RUR_POP                                                          numeric
@ATTRIBUTE MORT                                                             numeric
@ATTRIBUTE EMPL_BAD                                                         numeric
@ATTRIBUTE CATP_TO_ASSET                                                    numeric
@ATTRIBUTE COMP_CAPIT                                                       numeric
@ATTRIBUTE MON_GROWTH                                                       numeric
@ATTRIBUTE M2                                                               numeric
@ATTRIBUTE CRED_COVER                                                       numeric
@ATTRIBUTE STOCKS                                                           numeric
@ATTRIBUTE WORKER_REMIT                                                     numeric
@ATTRIBUTE EMP_PART_M                                                       numeric
@ATTRIBUTE UNEMP_M                                                          numeric
@ATTRIBUTE UNEMP_F                                                          numeric
@ATTRIBUTE EDU_PRIM_F                                                       numeric
@ATTRIBUTE EDU_PRIM_M                                                       numeric
@ATTRIBUTE EDU_TERT_F                                                       numeric
@ATTRIBUTE EDU_TERT_M                                                       numeric
@ATTRIBUTE LABOR_F                                                          numeric
@ATTRIBUTE LABOR_M                                                          numeric
@ATTRIBUTE LABOR_PARTICIP_RATE                                              numeric
@ATTRIBUTE EDU_TOTAL_F                                                      numeric
@ATTRIBUTE EDU_TOTAL_M                                                      numeric
@ATTRIBUTE UNEM_F                                                           numeric
@ATTRIBUTE UNEM_M                                                           numeric
@ATTRIBUTE POP_14                                                           numeric
@ATTRIBUTE POP_15_64                                                        numeric
@ATTRIBUTE POP_64                                                           numeric
@ATTRIBUTE POP_F                                                            numeric
@ATTRIBUTE POP_GROWTH                                                       numeric
@ATTRIBUTE AGR_F                                                            numeric
@ATTRIBUTE AGR_M                                                            numeric
@ATTRIBUTE EMPL_INDUST_F                                                    numeric
@ATTRIBUTE EMPL_INDUST_M                                                    numeric
@ATTRIBUTE EMPL_SERV_F                                                      numeric
@ATTRIBUTE EMPL_SERV_M                                                      numeric
@ATTRIBUTE EMPL_AGR                                                         numeric
@ATTRIBUTE EMPL_POP                                                         numeric
@ATTRIBUTE UNEMPL_LONG                                                      numeric
@ATTRIBUTE UNEMPL_YOUTH_F                                                   numeric
@ATTRIBUTE UNEMPL_YOUTH_M                                                   numeric
@ATTRIBUTE POP_LARGEST_CITY                                                 numeric
@ATTRIBUTE POP_MILLION_CITY                                                 numeric
@ATTRIBUTE URBAN_POP                                                        numeric
@ATTRIBUTE BAL                                                              numeric
@ATTRIBUTE CRED                                                             numeric
@ATTRIBUTE FDI                                                              numeric
@ATTRIBUTE BNK_HLTH                                                         numeric

@DATA
"141",?,2.9037,1.5534,?,16.483,4.1,11.5,8.9,84.4851,2.5835,238.9395,81.7,70.8497,0.2098,26.2,1.8,1.7,?,?,?,?,79.9,87.3,83.4,?,?,5.2,5.3,17.2081,66.3466,16.4453,50.4472,0.4461,?,?,?,?,?,?,?,61.3,1.7,10.0,8.9,7.5669,12.4565,83.517,10.1133,200.3197,0.8675,8.9
"143",?,0.1203,0.8959,?,38.3886,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.7,67.2,56.6,?,?,?,?,22.7971,67.271,9.9315,49.3314,1.6,?,?,?,?,?,?,?,?,?,?,?,?,?,61.6114,?,?,?,?
"144",?,11.0487,0.6211,?,13.714,5.7,?,6.7,47.6866,?,?,100.0,33.0099,?,10.6,0.8,0.8,?,?,?,?,62.1,73.9,67.8,?,?,7.3,6.5,20.2597,66.107,13.6333,50.8837,0.6313,?,?,?,?,?,?,?,63.1,0.8,18.1,17.3,38.7848,33.4713,86.286,-5.0841,?,1.3201,6.7
"145",?,?,?,19.9868,42.1392,24.4,?,?,?,15.3938,33.6092,29.5,?,9.6723,?,?,?,?,?,?,?,47.0,80.1,63.1,?,?,?,?,33.3662,62.0019,4.6319,50.542,1.4557,?,?,?,?,?,?,?,58.2,?,?,?,27.9131,22.8551,57.8608,-13.1413,26.908,7.6575,?
"146",?,?,?,38.1746,81.8792,113.5,?,?,?,31.4211,23.1452,0.0,?,?,?,?,?,57.1457,68.2167,0.9225,2.6894,39.9,89.8,64.7,57.8729,69.1247,?,?,49.9918,47.403,2.6052,49.6307,3.8354,?,?,?,?,?,?,?,61.4,?,?,?,36.7119,8.0087,18.1208,?,14.4593,11.7132,?
"147",?,?,?,33.0846,49.7706,123.7,?,?,21.4737,17.4159,36.506,4.1,8.7898,7.8574,?,?,?,?,?,?,?,48.1,63.5,55.9,?,?,?,?,44.2219,53.0524,2.7258,49.1226,2.7873,?,?,?,?,?,?,?,51.7,?,?,?,13.3579,15.7576,50.2294,7.7506,20.8523,2.7042,?
"150",2.2,?,?,?,20.354,2.8,5.2,?,50.6237,?,?,100.0,56.2818,0.1534,11.4,0.3,0.2,?,?,?,?,61.5,69.5,65.5,?,?,2.8,3.6,18.6367,65.8617,15.5014,49.9516,1.3193,0.8,3.5,7.5,31.6,91.5,64.7,2.2,63.4,0.3,7.2,10.0,22.8643,?,79.646,14.3827,?,4.5933,?
"151",?,0.0153,0.5285,?,26.3072,11.6,?,?,?,10.727,36.3327,0.0,13.2946,?,?,?,?,96.7687,95.9411,22.7804,11.7808,28.6,81.8,63.5,97.8029,97.0761,?,?,24.1944,73.0512,2.7543,37.9396,9.132,?,?,?,?,?,?,?,58.3,?,?,?,?,?,73.6928,?,41.2031,?,?
"152",?,2.4735,3.8349,24.4277,63.4508,85.9,?,?,19.3993,17.0288,39.9151,2.0,31.3091,6.2214,?,?,?,67.3212,77.1869,9.3018,9.743,24.4,82.9,54.2,67.3212,77.1869,?,?,34.3206,61.3178,4.3616,48.6385,1.6851,?,?,?,?,?,?,?,51.5,?,?,?,21.0296,19.2043,36.5492,-0.8993,16.8999,0.3792,?
"153",?,?,?,5.5763,15.1372,20.8,?,?,?,?,?,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.7157,?,?,?,?,?,?,?,?,?,?,?,?,?,84.8628,?,?,2.0066,?
"154",16.7,?,?,3.8866,24.2166,18.5,29.2,11.7,34.599,11.2015,80.601,57.9,0.9671,1.1097,16.3,?,?,90.8882,91.5577,?,?,49.0,81.9,65.5,91.6958,92.3522,4.9,3.5,28.6485,64.279,7.0725,49.496,1.644,8.5,21.9,8.8,24.2,82.7,53.9,16.7,62.6,?,13.3,8.7,49.9907,38.5159,75.7834,-9.0118,89.6115,9.3318,11.7
"155",?,?,?,?,87.4276,63.0,?,?,68.424,10.9423,52.0179,2.9,?,?,?,?,?,?,?,?,?,70.5,74.0,72.3,?,?,?,?,38.3712,58.7723,2.8565,48.9873,2.1726,?,?,?,?,?,?,?,70.6,?,?,?,?,?,12.5724,?,31.0934,0.184,?
"156",27.2,2.1559,0.6698,17.3616,37.5644,22.0,43.2,10.3,3.7733,11.7583,44.6192,47.5,5.4687,2.4865,?,?,?,?,?,?,?,55.4,84.8,70.2,?,?,6.1,3.9,32.7757,61.8652,5.3592,49.5771,1.7234,23.0,30.1,8.1,21.7,68.9,48.2,27.2,65.8,?,14.6,9.0,51.048,32.9611,62.4356,0.4533,41.3173,1.4238,10.3
"157",?,?,?,6.9986,22.423,18.2,46.3,9.8,47.5244,13.8247,36.7892,42.5,5.6536,1.3681,?,?,?,?,?,?,?,68.0,84.4,76.1,?,?,4.3,3.0,29.1771,64.5656,6.2573,49.8861,1.2513,?,?,?,?,?,?,?,73.1,?,?,?,39.8045,31.004,77.577,-3.5016,26.6625,6.0082,9.8
"158",32.2,0.8488,0.6473,11.8375,50.8768,29.8,39.8,13.1,105.5803,6.9778,58.9468,9.0,16.1523,9.8492,?,?,?,?,?,?,?,51.0,79.7,65.2,?,?,?,?,34.5333,61.6372,3.8295,49.8966,1.7244,?,?,?,?,?,?,32.2,60.7,?,?,?,25.2548,14.1956,49.1232,2.8483,33.4024,1.118,13.1
"159",12.6,1.261,1.8318,?,39.1554,5.0,18.2,8.6,36.2866,4.3934,57.8798,76.9,42.564,1.4159,4.7,3.2,3.9,?,?,?,?,48.9,64.8,56.5,?,?,10.9,9.4,14.9101,71.0408,14.0491,51.7189,0.0223,11.7,13.3,16.1,41.9,72.2,44.8,12.6,50.8,3.5,30.0,24.1,7.3201,4.4878,60.8446,-3.7287,53.7775,1.3681,8.6
"160",10.5,2.5378,1.6799,?,38.4228,3.6,16.7,6.0,30.8703,-5.4363,198.4886,22.9,41.8499,1.839,9.2,7.7,7.6,?,?,?,?,55.4,67.2,61.1,?,?,15.6,15.7,14.9159,66.5839,18.5001,51.5679,-0.2874,8.7,12.1,15.1,35.1,76.1,52.8,10.5,51.5,7.6,39.1,36.4,44.0743,40.4216,61.5772,-2.0495,184.3135,6.302,6.0
"161",1.4,?,?,?,1.1094,7.4,?,?,?,22.934,54.4094,0.0,12.1691,?,?,0.0,0.9,?,?,36.54,5.404,50.8,95.6,86.7,?,?,2.8,0.1,13.2823,85.7188,0.9989,23.5392,7.0515,0.0,1.5,4.3,58.6,95.7,39.8,1.4,86.2,0.1,?,?,?,?,98.8906,?,36.0538,?,?
"162",26.4,0.7614,1.3561,13.0744,51.6248,17.6,28.6,12.3,?,20.8319,56.3633,3.9,?,24.6295,18.5,1.9,1.5,87.6078,88.2303,43.4628,33.1041,37.0,43.3,40.0,90.4556,90.5964,4.3,6.8,16.5195,72.2461,11.2345,52.5938,-0.0354,23.2,29.7,12.8,25.7,64.0,44.6,26.4,37.7,1.7,13.4,12.8,?,?,48.3752,-6.8288,38.0611,2.5499,12.3
"163",29.0,2.2687,1.7401,6.0135,47.1504,12.2,31.5,8.4,8.2638,2.8425,37.7876,44.9,11.4547,1.9065,9.5,3.4,2.8,?,?,?,?,48.5,64.7,56.3,?,?,6.4,7.6,15.0499,69.9907,14.9594,51.281,-0.2712,30.1,28.1,20.4,35.3,49.5,36.7,29.0,52.3,3.2,23.2,22.3,17.1965,9.1037,52.8496,-3.293,44.9681,1.0503,8.4
"164",?,1.7663,0.919,3.8677,26.0032,10.3,?,12.4,43.4123,12.0739,51.4806,45.4,87.6393,0.2873,2.9,1.8,1.6,?,?,?,?,57.0,71.4,63.5,?,?,5.1,5.8,15.4489,71.5913,12.9598,53.8464,0.4,?,?,?,?,?,?,?,60.0,1.7,15.1,14.5,9.9772,19.877,73.9968,3.5454,48.7927,2.5145,12.4
"165",?,4.9977,2.255,32.9511,80.5716,55.0,?,?,?,?,?,7.1,?,2.568,?,?,?,?,?,6.0229,7.8334,86.5,85.5,86.0,?,?,?,?,43.5606,54.1113,2.3282,51.1893,2.7741,?,?,?,?,?,?,?,85.5,?,?,?,?,?,19.4284,-11.556,?,2.25,?
"167",?,?,?,1.5499,67.8912,9.2,?,?,?,11.9738,140.749,0.0,?,5.8841,?,?,?,82.214,79.8628,?,?,?,?,?,85.4339,82.4881,?,?,?,?,?,?,1.1506,?,?,?,?,?,?,?,?,?,?,?,?,?,32.1088,-9.227,63.6268,13.0956,?
"168",?,?,?,3.8669,83.0308,17.5,?,?,?,3.2792,95.8144,0.0,?,2.4081,?,?,?,81.3051,82.2383,13.9769,6.4096,62.6,76.0,69.1,82.6702,83.3174,?,?,24.3081,66.9514,8.7422,50.8852,0.888,?,?,?,?,?,?,?,?,?,?,?,?,?,16.9692,-14.8842,119.7966,8.834,?
"170",?,?,?,7.262,50.3024,23.4,?,?,?,4.8913,68.6142,0.0,?,4.1627,?,?,?,?,?,?,?,55.7,78.2,67.1,?,?,?,?,25.7038,67.4618,6.8344,49.5177,0.0146,?,?,?,?,?,?,?,?,?,?,?,?,?,49.6976,-30.2911,52.7573,17.5874,?
"171",?,0.1267,2.4803,9.8937,80.3088,17.8,?,?,?,-1.6437,44.6324,0.0,?,23.2283,?,?,?,95.7941,93.8676,?,?,23.4,58.4,41.4,97.4374,94.8724,?,?,37.8794,57.0234,5.0956,48.4422,0.7759,?,?,?,?,?,?,?,?,?,?,?,?,?,19.6912,-5.1816,46.5693,3.4382,?
"172",?,?,?,?,5.8594,3.3,?,?,?,?,?,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6389,?,?,?,?,?,?,?,?,?,?,?,?,?,94.1406,?,?,?,?
"173",?,?,?,?,36.688,53.2,?,?,?,18.3562,36.9053,0.0,?,2.4142,?,?,?,?,?,7.1077,8.2231,44.9,77.5,60.7,?,?,?,?,41.6028,54.9511,3.4455,50.6321,2.651,?,?,?,?,?,?,?,?,?,?,?,?,?,63.312,-37.7776,36.2522,8.5314,?
"174",4.7,?,?,2.2433,17.504,8.6,?,12.9,52.5111,16.4895,54.0703,33.3,144.4495,0.0346,?,?,?,96.2764,90.843,52.526,49.4817,18.2,75.5,52.2,96.3457,90.9532,18.6,3.2,29.6861,67.4007,2.9132,42.9103,1.8774,0.2,5.3,1.5,28.1,98.3,66.6,4.7,49.3,?,54.4,20.8,21.7429,42.9818,82.496,23.1719,37.613,1.7133,12.9
"175",?,2.0121,1.522,16.7257,57.1324,59.6,?,?,?,6.7892,40.3926,0.0,?,?,?,?,?,76.1342,70.6094,?,?,65.9,88.0,76.5,82.3186,76.5214,?,?,43.5426,53.4369,3.0206,50.9896,2.9221,?,?,?,?,?,?,?,68.9,?,?,?,51.6169,22.9497,42.8676,?,29.8543,2.4041,?
"176",21.0,?,?,?,43.275,6.6,26.4,?,19.874,9.4127,49.8376,100.0,3.664,7.3707,?,17.9,19.6,91.3115,91.4255,59.813,45.2768,?,?,?,93.0074,92.9392,24.9,23.2,16.4514,69.5195,14.0291,51.1183,-0.4814,18.9,22.5,17.0,33.3,64.1,44.3,21.0,42.0,18.7,?,?,27.3867,15.758,56.725,-10.6748,53.912,0.9477,?
"178",?,?,?,1.913,45.9878,13.1,?,?,?,-2.289,47.9803,0.0,?,0.1143,?,?,?,?,?,2.1838,0.6711,?,?,?,?,?,?,?,22.1467,70.1838,7.6685,48.9793,0.3925,?,?,?,?,?,?,?,?,?,?,?,?,?,54.0122,-1.7993,23.1575,1.0273,?
"179",?,?,?,?,60.3644,181.6,?,?,?,21.9847,20.4646,0.0,?,1.6067,?,?,?,?,?,?,?,65.7,68.9,67.3,?,?,?,?,41.7383,55.645,2.6166,50.3704,1.9121,?,?,?,?,?,?,?,65.0,?,?,?,40.3153,?,39.6356,-29.0328,6.2286,14.4381,?
"180",?,0.2544,0.3622,0.0342,0.0,2.9,9.3,8.5,150.755,7.2253,137.5714,58.3,43.3099,?,?,?,?,?,?,?,?,59.0,77.5,68.1,?,?,3.1,2.7,16.4752,73.7832,9.7417,50.6623,2.4525,?,?,?,?,?,?,?,66.1,0.6,?,?,93.4074,97.885,100.0,18.7248,120.5697,20.6228,8.5
"182",3.2,1.0497,1.436,?,45.2712,7.5,12.4,11.0,5.0583,?,?,58.5,3.5655,2.1151,2.7,8.8,9.0,?,?,?,?,51.0,68.7,59.5,?,?,14.5,13.5,15.0033,72.2934,12.7033,51.3724,0.2199,1.7,4.5,20.9,50.6,77.4,44.9,3.2,51.2,8.9,32.5,35.0,?,?,54.7288,2.2375,?,1.6756,11.0
"183",8.3,1.9374,2.9731,?,50.1002,3.1,12.8,?,14.2998,-7.6066,76.3492,98.9,6.2388,1.4225,5.9,4.1,4.4,?,?,?,?,52.3,63.5,57.8,?,?,9.4,8.4,14.1552,68.7944,17.0505,50.2997,0.2583,7.8,8.8,18.2,41.5,73.3,49.2,8.3,52.7,4.2,21.0,20.3,?,?,49.8998,3.2828,87.4172,-0.5022,?
"184",?,?,?,?,79.0846,31.1,?,?,?,17.3866,41.3052,0.0,?,1.7029,?,?,?,93.2408,93.1351,?,?,53.4,79.1,66.3,93.2408,93.1351,?,?,40.3733,56.278,3.3484,49.2558,2.1334,?,?,?,?,?,?,?,63.3,?,?,?,?,?,20.9154,0.2227,23.1776,6.7687,?
"185",?,?,?,?,61.7682,147.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.2,75.6,56.1,?,?,?,?,47.3493,49.8362,2.8146,50.2652,2.8578,?,?,?,?,?,?,?,51.8,?,?,?,41.3203,16.414,38.2318,?,?,?,?
"186",?,1.9694,0.8301,2.5654,37.5724,44.6,?,7.3,159.3256,5.1836,75.184,54.0,54.9251,0.2822,4.8,7.4,9.0,84.3629,85.6252,?,?,44.2,60.0,51.8,90.6685,90.2905,27.7,22.7,29.5257,65.0316,5.4427,51.4891,1.1841,?,?,?,?,?,?,?,38.8,8.1,56.9,47.1,11.7914,34.9012,62.4276,-6.2627,151.0676,1.2083,7.3
"187",?,?,?,?,81.7496,104.0,?,?,?,?,?,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42.2802,54.2533,3.4664,49.9866,4.3027,?,?,?,?,?,?,?,?,?,?,?,?,?,18.2504,?,?,?,?
"188",4.4,1.1965,1.2645,?,22.4268,4.5,12.3,?,75.217,-6.9301,193.8541,13.2,106.3183,0.7281,5.7,10.8,11.6,?,?,?,?,52.6,66.5,59.4,?,?,25.4,24.7,15.2018,67.288,17.5102,50.5991,0.0939,2.5,5.9,9.0,30.5,88.5,63.6,4.4,44.4,11.1,51.8,54.4,16.7852,26.7504,77.5732,-1.1445,192.593,2.7333,?
"189",39.4,3.3306,1.3428,11.0504,84.7882,9.6,40.7,?,28.6858,17.494,38.639,33.6,9.1793,10.0963,?,?,?,?,?,?,?,35.0,76.4,55.0,?,?,6.2,2.8,25.1517,66.6363,8.212,51.0753,?,34.7,41.6,25.1,14.1,29.4,28.2,39.4,52.4,?,23.5,14.0,?,?,15.2118,-6.737,31.0732,1.511,?
"191",?,?,?,27.6519,66.6136,73.1,?,?,?,40.1846,27.9175,0.0,?,0.6832,?,?,?,?,?,?,?,31.2,76.0,53.5,?,?,?,?,41.4778,55.3205,3.2017,49.8299,2.0766,?,?,?,?,?,?,?,45.6,?,?,?,38.2199,9.9171,33.3864,-8.9877,12.8421,4.2328,?
"193",?,?,?,9.2563,29.88,20.8,?,?,?,21.3432,49.0561,0.0,?,0.1608,?,?,?,?,?,?,?,40.4,68.8,54.5,?,?,?,?,27.8304,65.5965,6.5727,49.8768,0.8982,?,?,?,?,?,?,?,47.6,?,?,?,?,?,70.12,4.8148,24.0397,1.3141,?
"194",?,?,?,?,78.7544,79.7,?,?,?,10.0181,31.4158,47.8,?,0.8363,?,?,?,?,?,?,?,43.8,71.3,57.1,?,?,?,?,38.0455,58.5254,3.4293,50.7295,1.5412,?,?,?,?,?,?,?,44.3,?,?,?,?,?,21.2456,?,25.0406,2.3961,?
"195",2.0,3.6034,1.3431,?,14.6444,2.9,6.7,?,107.0103,-0.2189,85.2544,100.0,72.9978,0.1551,10.3,1.4,1.1,?,?,?,?,60.2,68.1,64.1,?,?,7.7,8.2,16.7077,64.3802,18.9121,50.1683,0.7108,1.0,3.0,7.7,30.3,90.8,66.2,2.0,59.0,1.3,22.3,25.0,15.9612,14.8005,85.3556,5.9823,138.9851,0.7711,?
"196",3.5,0.2535,0.8496,?,26.2184,4.3,9.1,?,170.955,13.005,188.0091,26.8,63.7422,0.4815,9.6,1.3,1.6,?,?,?,?,61.2,75.3,68.1,?,?,4.5,3.9,14.7919,67.7646,17.4435,50.7086,1.0655,2.9,4.0,9.5,29.4,83.4,63.4,3.5,65.3,1.5,8.1,8.8,19.6997,15.0782,73.7816,10.1112,176.4275,0.4353,?
"197",?,?,?,?,43.5358,15.1,?,?,?,?,?,0.0,?,?,?,?,?,?,?,?,?,13.4,72.7,43.6,?,?,?,?,35.3545,60.7037,3.9417,49.0448,1.9729,?,?,?,?,?,?,?,39.9,?,?,?,25.9164,32.9762,56.4642,?,?,?,?
"198",?,?,?,26.479,73.392,58.3,?,?,?,19.767,15.5129,0.0,?,51.9998,?,?,?,?,?,15.4012,29.3974,58.7,76.9,67.7,?,?,?,?,35.7515,61.0497,3.1988,49.7634,2.4539,?,?,?,?,?,?,?,59.9,?,?,?,?,?,26.608,-3.5509,12.9851,2.8439,?
"199",39.6,4.9234,1.7697,12.2699,65.5092,13.2,53.5,10.5,104.6543,10.3808,131.1325,44.1,70.4419,1.2879,?,?,?,?,?,58.2428,44.6184,64.4,80.8,72.4,?,?,0.6,0.7,18.4663,72.1187,9.415,51.0075,0.3129,37.8,41.2,18.3,23.1,43.8,35.7,39.6,71.9,?,3.1,2.5,30.9762,14.9022,34.4908,-0.391,148.2842,2.9209,10.5
"200",17.3,0.6393,0.8767,11.4613,40.5578,7.4,22.1,11.6,5.816,4.3534,58.3426,72.2,5.4444,4.1004,5.9,26.1,24.4,?,?,?,?,42.9,67.3,55.1,?,?,30.3,31.5,16.8894,71.0691,12.0416,49.8934,0.0801,17.6,17.1,24.4,33.4,57.9,49.4,17.3,38.0,25.4,51.7,55.2,?,?,59.4422,-3.1249,47.5696,2.9407,11.6
"201",?,?,?,?,71.2708,56.7,?,?,?,26.2133,31.4731,0.0,?,8.793,?,?,?,?,?,?,?,24.7,51.1,38.1,?,?,?,?,46.3305,50.4524,3.2169,49.1849,2.8796,?,?,?,?,?,?,?,36.5,?,?,?,?,?,28.7292,211.8874,12.3789,1.4618,?
"202",?,9.6801,1.2324,?,61.493,95.5,?,?,?,9.1143,46.4464,0.0,?,?,?,?,?,?,?,4.4167,16.2055,80.7,81.2,80.9,?,?,?,?,41.8919,55.368,2.74,50.7123,2.6021,?,?,?,?,?,?,?,74.8,?,?,?,70.9908,23.9897,38.507,?,30.9081,4.3611,?
"204",?,?,?,19.1698,76.4356,12.8,?,?,?,5.8705,40.5382,0.0,?,12.6316,?,?,?,?,?,?,?,53.5,74.8,64.0,?,?,?,?,37.3238,56.8243,5.8452,49.8928,0.3695,?,?,?,?,?,?,?,?,?,?,?,?,?,23.5644,?,29.8819,1.7157,?
"205",?,?,?,0.6166,86.0208,20.7,?,?,65.0309,20.8324,62.0021,46.0,0.7782,?,?,?,?,?,?,?,?,52.9,75.5,64.0,?,?,?,?,20.7297,70.5113,8.7588,50.5403,0.3263,?,?,?,?,?,?,?,60.3,?,?,?,?,?,13.9792,?,31.5293,10.8365,?
"206",?,?,?,8.7271,33.4696,16.1,?,?,19.4623,7.7242,66.734,0.0,13.492,4.9619,?,?,?,?,?,43.437,27.3104,25.1,70.6,47.5,?,?,?,?,23.2229,69.6967,7.0804,50.3959,0.9668,?,?,?,?,?,?,?,41.4,?,?,?,10.9433,?,66.5304,-8.2637,75.2294,3.4039,?
"207",23.6,0.4542,2.46,9.0757,27.6682,14.2,32.1,12.0,39.1222,10.4163,55.363,63.0,136.5107,0.1286,6.7,1.8,3.4,?,?,?,?,29.4,70.8,49.4,?,?,10.8,8.5,26.0008,66.74,7.2592,50.8883,1.2764,37.2,17.8,14.9,30.7,47.9,51.5,23.6,44.9,2.3,19.9,16.3,20.1723,33.026,72.3318,-6.05,54.3952,1.5862,12.0
"208",?,?,?,14.5488,50.9268,52.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46.7,76.5,61.2,?,?,?,?,28.6485,67.2989,4.0526,50.7981,1.2892,?,?,?,?,?,?,?,54.3,?,?,?,?,?,49.0732,?,?,8.9836,?
"209",?,1.0584,1.205,?,5.9264,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1855,?,?,?,?,?,?,?,?,?,?,?,?,?,94.0736,?,?,?,?
"210",?,?,?,25.3956,49.0248,29.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.1624,?,?,?,?,?,?,?,?,?,?,?,?,?,50.9752,?,?,?,?
"211",?,6.144,1.1174,?,84.0,68.9,?,?,36.6882,16.9367,24.3464,3.7,0.151,3.6861,?,?,?,?,?,?,?,75.9,79.3,77.6,?,?,?,?,48.5426,49.0289,2.4285,49.8673,3.3511,?,?,?,?,?,?,?,74.3,?,?,?,29.866,4.8102,16.0,-11.1749,16.3228,8.6572,?
"212",17.2,0.9819,0.9409,9.2508,30.917,10.7,17.8,14.7,11.7472,12.791,54.88,23.3,5.2105,4.7922,?,2.3,1.9,98.8229,97.0803,85.4013,74.2727,53.0,66.6,59.1,99.2706,97.5226,6.4,8.5,14.1788,70.5168,15.3044,53.9034,-0.2471,?,?,?,?,?,?,17.2,54.6,2.1,16.1,18.1,9.0491,13.7934,69.083,-8.3813,62.0054,4.4428,14.7
"213",?,?,?,?,15.3788,8.4,?,16.7,?,4.4341,61.1828,31.7,25.3368,?,?,?,?,90.0715,92.2686,?,?,46.6,91.0,79.3,97.4015,99.1442,?,?,14.4118,85.2309,0.3573,29.6487,3.095,?,?,?,?,?,?,?,76.3,?,?,?,21.2696,22.813,84.6212,?,59.0689,?,16.7
"214",1.2,0.7049,0.9675,?,20.2368,4.8,12.1,?,122.1574,0.7624,161.8351,100.0,84.0356,0.0718,11.7,3.1,2.2,?,?,?,?,55.7,68.8,62.1,?,?,7.3,8.4,17.5389,65.2977,17.1634,50.7532,0.7542,0.7,1.6,7.6,28.7,90.9,68.6,1.2,57.1,2.7,17.9,23.8,17.1679,25.9316,79.7632,-3.8255,176.0737,2.2711,?
"215",?,?,?,27.578,72.7942,54.0,?,?,6.3841,12.6119,32.7986,0.0,1.6037,0.2386,?,?,?,?,?,2.7722,5.0654,88.1,90.2,89.2,?,?,?,?,44.8522,51.9766,3.1712,50.0023,3.0351,?,?,?,?,?,?,?,86.1,?,?,?,28.0886,7.9055,27.2058,-12.8878,17.8678,6.0439,?
"216",?,2.4516,0.9085,?,17.375,7.1,?,11.3,114.9202,4.8352,86.8191,100.0,124.6044,0.0387,7.1,2.4,2.3,?,?,?,?,56.8,69.3,62.9,?,?,7.9,8.2,19.6329,66.738,13.6291,50.8064,0.7438,?,?,?,?,?,?,?,57.8,2.4,14.7,17.6,7.5791,47.81,82.625,-2.7112,183.7938,1.2545,11.3
"217",?,7.6325,1.835,8.3768,7.365,7.2,?,8.5,0.3514,9.9541,43.6352,100.0,0.8349,0.1935,?,?,?,?,?,?,?,55.5,76.8,65.6,?,?,8.3,4.9,22.0466,63.9279,14.0255,51.7101,0.3472,?,?,?,?,?,?,?,61.6,?,23.6,14.7,52.0991,49.7033,92.635,-5.2595,24.087,5.8226,8.5
"218",?,?,?,18.9249,63.708,39.6,?,11.5,?,?,?,15.7,?,?,?,?,?,?,?,?,?,47.9,75.2,61.4,?,?,?,?,28.8975,66.8156,4.287,50.259,1.4737,?,?,?,?,?,?,?,54.4,?,?,?,20.6424,7.5786,36.292,?,?,2.1404,11.5
"219",?,?,?,25.2434,74.7846,17.9,?,?,?,-0.6238,78.0803,0.0,?,2.7998,?,?,?,?,?,?,?,61.5,80.3,70.9,?,?,?,?,37.3737,58.6455,3.9812,49.2656,2.2429,?,?,?,?,?,?,?,?,?,?,?,?,?,25.2154,-6.3869,70.0346,4.7903,?
"220",7.7,?,?,?,6.3044,15.3,31.8,10.3,6.6357,56.3548,47.5222,15.7,0.2354,0.0309,?,?,?,91.1506,93.3579,?,?,50.9,79.2,65.0,93.2633,95.5132,9.0,7.4,28.8359,65.1835,5.9805,49.8448,1.5278,?,?,?,?,?,?,7.7,59.9,?,22.6,14.3,11.3014,33.3379,93.6956,2.8892,25.2634,0.5767,10.3
"221",47.4,?,?,19.6698,68.3218,23.0,62.5,?,21.1353,24.5447,106.4646,0.0,13.1835,?,?,?,?,?,?,?,?,72.8,81.9,77.2,?,?,2.0,1.6,22.8719,70.5775,6.5505,50.5915,1.0594,49.5,45.3,16.8,25.2,33.7,29.4,47.4,75.7,?,6.5,4.6,23.3162,10.9315,31.6782,5.8157,94.8322,5.3703,?
